epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.20301,1.05891,5.00188,0.99969,0.00267,0.8,0.00268,0.00169,0.68041,4.56103,0.94684,5e-05,5e-05,0.09505
2,9.59267,0.96141,3.35949,0.91224,0.00323,0.92,0.82121,0.56522,1.02426,3.87215,0.85262,0.000109893,0.000109893,0.0891099
3,15.0674,1.03656,1.66528,0.89345,0.00436,0.8,0.71412,0.35403,1.01989,4.15144,0.91803,0.000169336,0.000169336,0.0831693
4,18.7577,0.97379,1.35571,0.8704,1,0.52,0.515,0.36235,1.18181,4.05236,0.87681,0.000227983,0.000227983,0.077228
5,22.2859,0.83584,0.97581,0.87305,0.64706,0.44,0.36212,0.21457,1.14448,4.15975,0.90376,0.00028549,0.00028549,0.0712855
6,26.3929,0.84537,0.89282,0.89091,0.625,0.4,0.29,0.16733,1.37945,4.15101,1.01718,0.000341521,0.000341521,0.0653415
7,30.8543,0.67934,0.74066,0.90279,0.72222,0.52,0.38167,0.27753,1.11935,4.03079,0.91843,0.000395748,0.000395748,0.0593957
8,34.3038,0.70084,0.65741,0.89801,0.72222,0.52,0.40206,0.2874,1.14073,3.9581,0.92638,0.000447858,0.000447858,0.0534479
9,37.6758,0.76448,0.65955,0.91286,0.875,0.56,0.5,0.34776,1.1767,3.90249,0.95256,0.000497549,0.000497549,0.0474975
10,41.6585,0.78568,0.60047,0.89808,0.82609,0.76,0.67003,0.45198,1.35062,3.60517,1.02731,0.000544536,0.000544536,0.0415445
11,46.4439,0.7746,0.6077,0.89457,0.81481,0.88,0.74038,0.54169,1.11597,3.30461,0.94459,0.000588551,0.000588551,0.0355886
12,49.6668,0.77431,0.61315,0.91948,0.80645,1,0.98641,0.68187,1.18,2.77186,0.95904,0.000629347,0.000629347,0.0296293
13,53.1295,0.73527,0.63271,0.92392,0.75758,1,0.995,0.67293,1.27648,2.49976,0.99167,0.000666696,0.000666696,0.0236667
14,56.835,0.75034,0.57067,0.87624,0.75758,1,0.995,0.76233,0.95056,1.88031,0.91082,0.000700396,0.000700396,0.0177004
15,61.9472,0.70452,0.59672,0.88783,0.97032,1,0.995,0.78345,0.91748,1.72407,0.90337,0.000730267,0.000730267,0.0117303
16,65.4258,0.72248,0.57954,0.87683,1,0.97063,0.995,0.73818,1.08166,1.34007,0.94514,0.000756156,0.000756156,0.00575616
17,68.6885,0.73895,0.54178,0.85815,0.99447,1,0.995,0.76707,1.03405,1.14915,0.929,0.000770234,0.000770234,0.000770234
18,74.3227,0.74414,0.59565,0.87467,0.99456,1,0.995,0.75145,0.97404,1.18646,0.91932,0.000743468,0.000743468,0.000743468
19,78.07,0.70816,0.55226,0.87048,0.98693,1,0.995,0.73354,1.105,1.21861,0.95372,0.000715761,0.000715761,0.000715761
20,81.3637,0.76062,0.54668,0.92472,0.99262,1,0.995,0.67588,1.23287,0.96725,1.01247,0.000687222,0.000687222,0.000687222
21,84.8037,0.67914,0.55704,0.86479,0.99266,1,0.995,0.71259,1.08036,0.89104,0.96468,0.000657963,0.000657963,0.000657963
22,89.9106,0.67657,0.54473,0.89876,0.99696,1,0.995,0.85134,0.67996,0.64568,0.87366,0.000628101,0.000628101,0.000628101
23,93.0693,0.67582,0.52571,0.8866,0.99651,1,0.995,0.8445,0.66541,0.62378,0.86651,0.000597754,0.000597754,0.000597754
24,96.5106,0.66032,0.51203,0.88616,0.99691,1,0.995,0.76164,0.96677,0.56628,0.91449,0.00056704,0.00056704,0.00056704
25,100.167,0.67128,0.52705,0.86826,0.99668,1,0.995,0.72145,1.1326,0.58288,0.95773,0.000536081,0.000536081,0.000536081
26,105.301,0.70494,0.5213,0.87015,0.99727,1,0.995,0.7031,1.2454,0.57797,0.99054,0.000505,0.000505,0.000505
27,108.528,0.63889,0.49493,0.85095,0.99751,1,0.995,0.72244,1.14725,0.54915,0.96176,0.000473919,0.000473919,0.000473919
28,112.054,0.6635,0.49845,0.8624,0.99692,1,0.995,0.80679,0.80738,0.52422,0.88804,0.00044296,0.00044296,0.00044296
29,115.545,0.63844,0.47431,0.86266,0.99614,1,0.995,0.82355,0.72756,0.50262,0.87763,0.000412246,0.000412246,0.000412246
30,120.343,0.66543,0.48752,0.88072,0.99604,1,0.995,0.7985,0.81188,0.46923,0.89651,0.000381899,0.000381899,0.000381899
31,123.449,0.57377,0.44439,0.86253,0.99619,1,0.995,0.77431,0.88716,0.45279,0.91027,0.000352037,0.000352037,0.000352037
32,127.043,0.60078,0.45084,0.86534,0.9968,1,0.995,0.75859,0.98152,0.45877,0.92667,0.000322778,0.000322778,0.000322778
33,130.563,0.5898,0.44756,0.85054,0.99697,1,0.995,0.76564,0.96178,0.45726,0.91955,0.000294239,0.000294239,0.000294239
34,135.066,0.57345,0.44386,0.87206,0.99745,1,0.995,0.81406,0.80926,0.42789,0.88573,0.000266532,0.000266532,0.000266532
35,138.514,0.57305,0.42035,0.8302,0.99751,1,0.995,0.82449,0.74915,0.41509,0.87231,0.000239766,0.000239766,0.000239766
36,141.794,0.62529,0.42908,0.84049,0.99776,1,0.995,0.82821,0.76535,0.40268,0.87229,0.000214046,0.000214046,0.000214046
37,145.608,0.62763,0.42547,0.84934,0.9978,1,0.995,0.81537,0.83344,0.40833,0.88485,0.000189475,0.000189475,0.000189475
